CODE FOYER;RANG LUMINAIRE;ARMOIRE;ADRESSE;DOMAINE;TYPE SUPPORT;NATURE SUPPORT;HAUTEUR SUPPORT;ETAT SUPPORT;OBSERVATION SUPPORT;COFFRET CLASSE II;MISE A LA TERRE MAT;TYPE CROSSE;SAILLIE CROSSE;ETAT CROSSE;OBSERVATION CROSSE;MARQUE LUMINAIRE;MODELE LUMINAIRE;HAUTEUR DE FEU;ETAT LUMINAIRE;TYPE SOURCE;NOMBRE DE LEDS;PUISSANCE ESTIMEE SOURCE;TYPE DE FIXATION;OBSERVATION LUMINAIRE;TYPE RESEAU;OBSERVATION RESEAU;X;Y
186/572;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98964179523636;42.670971497817
186/571;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98942095250859;42.671018644491
186/329;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.9885937505573;42.6710105435429
186/328;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98858849092133;42.6712464388883
186/220;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;CANDELABRE OCTOGONAL CONIQUE;ACIER GALVANISE;4;BON;;OUI;OUI;;;;;BENITO/LUXECO;GARDEN;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98593826679707;42.6673154103983
186/219;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;CANDELABRE OCTOGONAL CONIQUE;ACIER GALVANISE;4;BON;;OUI;OUI;;;;;BENITO/LUXECO;GARDEN;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98597906288739;42.6670744034461
186/218;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRIQUE;ACIER GALVANISE;4;BON;;OUI;OUI;;;;;BENITO/LUXECO;GARDEN;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98634779436204;42.667171891068
186/MA;1;356;IMPASSE DE LA PLANA;ECLAIRAGE PUBLIC;FACADE;;;;;NON;NON;;;;;DIVERS;DECORATION;0.5;BON;BF;;80;APPLIQUE;;SOUTERRAIN;;2.986133370097;42.6670913897615
186/8006;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;5;BON;;OUI;OUI;;;;;PHILIPS;CITYSPIRIT STREET;5;MOYEN;COSMO;;90;TOP;;SOUTERRAIN;;2.98590561662977;42.6667989108661
186/4746;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;ENCASTRE DE SOL;;;;;;;;;;;LEC;DECORATION;;MOYEN;LED;16;;;;SOUTERRAIN;;2.9859623551214;42.6667312096561
186/4538;1;356;RUE DE LA PLANA;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;7;MOYEN;COSMO;;140;LATERALE;;SOUTERRAIN;;2.98591496719355;42.6667078417765
186/4539;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;ENCASTRE DE SOL;;;;;;;;;;;LEC;DECORATION;;MOYEN;LED;16;;;;SOUTERRAIN;;2.98589950449255;42.666640334666
186/4495;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;7;MOYEN;COSMO;;140;LATERALE;;SOUTERRAIN;;2.98564171675212;42.6666014249081
186/4453;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;7;MOYEN;COSMO;;140;LATERALE;;SOUTERRAIN;;2.98537140739492;42.6664956129132
186/4433;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;7;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;PHILIPS;MODENA;7;MOYEN;COSMO;;140;LATERALE;;SOUTERRAIN;;2.98511310312316;42.6663953380638
186/4432;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;ENCASTRE DE SOL;;;;;;;;;;;LEC;DECORATION;;MOYEN;LED;16;;;;SOUTERRAIN;;2.98517421012205;42.6663622396062
186/4348;1;356;AVENUE DE CABESTANY;ECLAIRAGE PUBLIC;ENCASTRE DE SOL;;;;;;;;;;;LEC;DECORATION;;MOYEN;LED;16;;;;SOUTERRAIN;;2.98513586733077;42.6663498934041
